id,userid,type,mode,geometry,length,timearray,started_at_date,started_at_time,finished_at_date,finished_at_time,confirmed
"1","p0","T","Walk","LINESTRING (9.29391 48.72627, 9.2939 48.72631, 9.29389 48.72636, 9.29388 48.72642, 9.29387 48.72647, 9.29386 48.72652, 9.29386 48.72658, 9.29385 48.72663, 9.29384 48.72668, 9.29383 48.72674, 9.29375 48.7269, 9.29374 48.72695, 9.29374 48.72701, 9.29373 48.72706, 9.29372 48.72711, 9.29371 48.72716, 9.2937 48.72721, 9.293615516287032 48.72720327763435, 9.29368 48.72732, 9.29355 48.72749, 9.29354 48.72754, 9.29353 48.72759, 9.29352 48.72765, 9.29351 48.7277, 9.29349 48.72774, 9.29346 48.728, 9.29343 48.72805, 9.293482379808808 48.72801613403728, 9.293350219020807 48.728079578613865, 9.29334 48.7282, 9.29326 48.72835, 9.29325 48.7284, 9.29324 48.72845, 9.29324 48.7285, 9.29324 48.72855, 9.29325 48.7286, 9.29326 48.72865, 9.29327 48.72871, 9.29327 48.72876, 9.29328 48.72881, 9.2933 48.72886, 9.29331 48.72891, 9.29333 48.72897, 9.29334 48.72902, 9.29335 48.72907, 9.29337 48.72912, 9.29339 48.72918, 9.29342 48.72923, 9.29345 48.72927, 9.29348 48.72932, 9.29352 48.72937, 9.29355 48.72942, 9.29352 48.72959, 9.29354 48.72964, 9.29356 48.72969, 9.29358 48.72974, 9.29358 48.7298, 9.29358 48.72985, 9.29357 48.72991, 9.29355 48.72996, 9.29353 48.73001, 9.2935 48.73006, 9.29346 48.7301, 9.29343 48.73015, 9.29339 48.7302, 9.293314796241102 48.73026852294462, 9.29332 48.73029, 9.29328 48.73034, 9.29324 48.73038, 9.29336 48.73066, 9.29341 48.7307, 9.29346 48.73074, 9.29359 48.73087, 9.29363 48.73091, 9.29367 48.73096, 9.2937 48.73101, 9.29373 48.73105, 9.29377 48.7311, 9.2938 48.73115, 9.29383 48.7312, 9.29386 48.73125, 9.29389 48.7313, 9.29392 48.73134, 9.29394 48.73139, 9.29396 48.73144, 9.29398 48.7315, 9.29398 48.73155, 9.29398 48.73177, 9.294 48.73182, 9.29403 48.73186, 9.29407 48.73191, 9.2941 48.73196, 9.29414 48.732, 9.294253609004393 48.73201838236693, 9.29423 48.73208, 9.29428 48.73213, 9.29433 48.73217, 9.29439 48.73221, 9.29444 48.73225, 9.29449 48.73229, 9.29454 48.73232, 9.29459 48.73236, 9.29465 48.7324, 9.29471 48.73244, 9.29476 48.73248, 9.29482 48.73252, 9.29487 48.73255, 9.29493 48.7326, 9.29499 48.73263, 9.29505 48.73267, 9.2951 48.7327, 9.295198251230529 48.73277617215046, 9.29522 48.73278, 9.29528 48.73281, 9.29535 48.73284, 9.29541 48.73287, 9.29548 48.7329, 9.29555 48.73293, 9.29583 48.73313, 9.2961 48.73324, 9.29616 48.73326, 9.29622 48.7333, 9.29653 48.73339, 9.29661 48.73339, 9.29669 48.73339, 9.29677 48.73339, 9.29685 48.7334, 9.29712 48.73341, 9.2974 48.73336, 9.29748 48.73336, 9.29756 48.73337, 9.29764 48.73337, 9.29772 48.73338, 9.29781 48.73338, 9.29788 48.73339, 9.29796 48.73339, 9.29828 48.73341, 9.29844 48.73358, 9.2985 48.73361, 9.29856 48.73364, 9.29863 48.73368, 9.29869 48.73371, 9.29875 48.73374, 9.29882 48.73378, 9.29888 48.73381, 9.29895 48.73384, 9.298932216744689 48.73395192160417, 9.29903668941776 48.73392096040126, 9.29914 48.73395, 9.2992 48.73398, 9.29927 48.73401, 9.29933 48.73404, 9.2994 48.73408, 9.29946 48.73411, 9.2996 48.73409, 9.2998 48.73428, 9.29981 48.73436, 9.2999 48.73444, 9.29994 48.73449, 9.29999 48.73453, 9.30004 48.73457, 9.30008 48.73461, 9.30013 48.73466, 9.30017 48.7347, 9.30022 48.73474, 9.30038 48.73489, 9.30043 48.73493, 9.30048 48.73497, 9.30052 48.73501, 9.30057 48.73506, 9.30061 48.7351, 9.30066 48.73514, 9.300786075141428 48.735236074542215, 9.3007 48.73532, 9.30068 48.73535, 9.30066 48.73546, 9.30085 48.73558, 9.30093 48.73558, 9.30097 48.73563, 9.30101 48.73568, 9.30107 48.73569, 9.30115 48.73569, 9.30132 48.73574, 9.30138 48.73578, 9.30144 48.73581, 9.3015 48.73585, 9.30155 48.73589, 9.30161 48.73593, 9.30166 48.73596, 9.30171 48.73601, 9.30175 48.73605, 9.3018 48.73609, 9.30185 48.73613, 9.301853020254473 48.73608798374108, 9.30195 48.73621, 9.30199 48.73626, 9.30204 48.7363, 9.30209 48.73634, 9.30214 48.73639, 9.30218 48.73643, 9.30223 48.73647, 9.30228 48.73652, 9.30232 48.73656, 9.30237 48.7366, 9.30242 48.73665, 9.30246 48.73669, 9.30251 48.73673, 9.302568806742185 48.73674711823125, 9.3026 48.73681, 9.30265 48.73686, 9.30269 48.7369, 9.30272 48.73695, 9.30275 48.737, 9.30278 48.73705, 9.30282 48.7371, 9.30285 48.73715, 9.30288 48.73719, 9.30291 48.73724, 9.30295 48.73729, 9.30298 48.73734, 9.30301 48.73739, 9.30305 48.73744, 9.30319 48.73755, 9.30324 48.73759, 9.30329 48.73764, 9.30334 48.73768, 9.30339 48.73773, 9.30343 48.73777, 9.30348 48.73781, 9.30353 48.73786, 9.30358 48.7379, 9.30362 48.73794, 9.30371 48.73802, 9.30369 48.73805, 9.30355 48.7381, 9.30342 48.73814, 9.30335 48.73817, 9.29827 48.73957, 9.2982 48.73959, 9.29812 48.73961, 9.29805 48.73963, 9.29797 48.73965, 9.2979 48.73967, 9.29782 48.73969, 9.29775 48.73971, 9.29768 48.73972, 9.2976 48.73974, 9.29752 48.73976, 9.29745 48.73978, 9.29737 48.73979, 9.29729 48.73981, 9.29721 48.73983, 9.29713 48.73984, 9.29706 48.73986, 9.29698 48.73988, 9.29675 48.74, 9.29668 48.74002, 9.2966 48.74003, 9.29652 48.74005, 9.29645 48.74006, 9.29637 48.74008, 9.2963 48.74009, 9.29622 48.74011, 9.29615 48.74013, 9.29607 48.74014, 9.296 48.74016, 9.29592 48.74017, 9.29585 48.74019, 9.29577 48.7402, 9.2957 48.74022, 9.29562 48.74023, 9.29555 48.74025, 9.295431849629606 48.74027010547476, 9.29539 48.74028, 9.29532 48.74031, 9.29525 48.74034, 9.2952 48.74037, 9.29516 48.74042, 9.29515 48.74047, 9.29516 48.74052, 9.29517 48.74058, 9.29518 48.74063, 9.29518059658603 48.740762549697266, 9.29523 48.74073, 9.29525 48.74078, 9.29527 48.74083, 9.29529 48.74088, 9.29531 48.74093, 9.29533 48.74098, 9.29535 48.74102, 9.29527 48.7411, 9.29526 48.74122, 9.29519 48.74123, 9.29511 48.74125, 9.29503 48.74126, 9.29496 48.74127, 9.29488 48.74128, 9.2948 48.7413, 9.29472 48.74131, 9.29465 48.74133, 9.29458 48.74136, 9.2945 48.74137, 9.29443 48.74138, 9.29434 48.7414, 9.29427 48.74141, 9.29419 48.74142, 9.29411 48.74143, 9.29404 48.74144, 9.293871786176592 48.741363935884564, 9.29388 48.74146, 9.2938 48.74147, 9.29372 48.74148, 9.29365 48.74149, 9.29357 48.7415, 9.29341973776931 48.74154173378634, 9.29341 48.74152, 9.29334 48.74153, 9.29326 48.74155, 9.29317 48.74156, 9.29309 48.74157, 9.29301 48.74157, 9.292994094863404 48.741536754184324, 9.29287 48.74153, 9.29281 48.74149, 9.29274 48.74146, 9.29266 48.74145, 9.29259 48.74145, 9.29251 48.74144, 9.29243 48.74143, 9.29235 48.74143, 9.29227 48.74142, 9.29219 48.74142, 9.29211 48.74141, 9.29202 48.7414, 9.29194 48.7414, 9.29186 48.74139, 9.291775572898091 48.74142749101001, 9.2917 48.74138, 9.29163 48.74137, 9.29155 48.74136, 9.29147 48.74136, 9.29139 48.74135, 9.29131 48.74134, 9.29116570746088 48.74128037845679, 9.29115 48.74133, 9.29108 48.74134, 9.29107 48.74139, 9.29106 48.74144, 9.29104 48.74149, 9.29103 48.74155, 9.29102 48.7416, 9.29096 48.74175, 9.29096 48.7418, 9.29085 48.74182, 9.29077 48.74181, 9.2907 48.7418, 9.29061 48.74179, 9.290582426145777 48.74187524635863, 9.29044 48.74191, 9.29037 48.74194, 9.29029 48.74193, 9.29014 48.74191, 9.29006 48.7419, 9.28998 48.74189, 9.2899 48.74188, 9.2898 48.7419, 9.28978 48.74196, 9.28977 48.74201, 9.28965 48.74202, 9.28957 48.74201, 9.28949 48.742, 9.28941 48.742, 9.289410020327619 48.741918801406506, 9.28925 48.74198, 9.28919 48.74194)","4127","[1, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100, 105, 110, 115, 120, 125, 130, 135, 140, 145, 150, 155, 160, 165, 170, 175, 180, 185, 190, 195, 200, 205, 210, 215, 220, 225, 230, 235, 240, 245, 250, 255, 260, 265, 270, 275, 280, 285, 290, 295, 300, 305, 310, 315, 320, 325, 330, 335, 340, 345, 350, 355, 360, 365, 370, 375, 380, 385, 390, 395, 400, 405, 410, 415, 420, 425, 430, 435, 440, 445, 450, 455, 460, 465, 470, 475, 480, 485, 490, 495, 500, 505, 510, 515, 520, 525, 530, 535, 540, 545, 550, 555, 560, 565, 570, 575, 580, 585, 590, 595, 600, 605, 610, 615, 620, 625, 630, 635, 640, 645, 650, 655, 660, 665, 670, 675, 680, 685, 690, 695, 700, 705, 710, 715, 720, 725, 730, 735, 740, 745, 750, 755, 760, 765, 770, 775, 780, 785, 790, 795, 800, 805, 810, 815, 820, 825, 830, 835, 840, 845, 850, 855, 860, 865, 870, 875, 880, 885, 890, 895, 900, 905, 910, 915, 920, 925, 930, 935, 940, 945, 950, 955, 960, 965, 970, 975, 980, 985, 990, 995, 1000, 1005, 1010, 1015, 1020, 1025, 1030, 1035, 1040, 1045, 1050, 1055, 1060, 1065, 1070, 1075, 1080, 1085, 1090, 1095, 1100, 1105, 1110, 1115, 1120, 1125, 1130, 1135, 1140, 1145, 1150, 1155, 1160, 1165, 1170, 1175, 1180, 1495, 1500, 1505, 1510, 1515, 1520, 1525, 1530, 1535, 1540, 1545, 1550, 1555, 1560, 1565, 1570, 1575, 1580, 1585, 1590, 1595, 1600, 1605, 1610, 1615, 1620, 1625, 1630, 1635, 1640, 1645, 1650, 1655, 1660, 1665, 1670, 1675, 1680, 1685, 1690, 1695, 1700, 1705, 1710, 1715, 1720, 1725, 1730, 1735, 1740, 1745, 1750, 1755, 1760, 1765, 1770, 1775, 1780, 1785, 1790, 1795, 1800, 1805, 1810, 1815, 1820, 1825, 1830, 1835, 1840, 1845, 1850, 1855, 1860, 1865, 1870, 1875, 1880, 1885, 1890, 1895, 1900, 1905, 1910, 1915, 1920, 1925, 1930, 1935, 1940, 1945, 1950, 1955, 1960, 1965, 1970, 1975, 1980, 1985, 1990, 1995, 2000, 2005, 2010, 2015, 2020, 2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060, 2065, 2070, 2075, 2080, 2085, 2090, 2095, 2100, 2105, 2110, 2115, 2120, 2125, 2130, 2135, 2140, 2145, 2150, 2155, 2160, 2165, 2170, 2175, 2179]","2024-04-01","08:00:00","2024-04-01","08:36:17","0"
"2","p0","S","nan","POINT (9.28919 48.74194)","0","[2180, 2184, 2189, 2194, 2199, 2204, 2209, 2214, 2219, 2224, 2229, 2234, 2239, 2244, 2249, 2254, 2259, 2264, 2269, 2274, 2279, 2284, 2289, 2294, 2299, 2304, 2309, 2314, 2319, 2324, 2329, 2334, 2339, 2344, 2349, 2354, 2359, 2364, 2369, 2374, 2379, 2384, 2389, 2394, 2399, 2404, 2409, 2414, 2419, 2424, 2429, 2434, 2439, 2444, 2449, 2454, 2459, 2464, 2469, 2474, 2479, 2484, 2489, 2494, 2499, 2504, 2509, 2514, 2519, 2524, 2529, 2534, 2539, 2544, 2549, 2554, 2559, 2564, 2569, 2574, 2579, 2584, 2589, 2594, 2599, 2604, 2609, 2614, 2619, 2624, 2629, 2634, 2639, 2644, 2649, 2654, 2659, 2664, 2669, 2674, 2679, 2684, 2689, 2694, 2699, 2704, 2709, 2714, 2719, 2724, 2729, 2734, 2739, 2744, 2749, 2754, 2759, 2764, 2769, 2774, 2779, 2784, 2789, 2794, 2799, 2804, 2809, 2814, 2819, 2824, 2829, 2834, 2839, 2844, 2849, 2854, 2859, 2864, 2869, 2874, 2879, 2884, 2889, 2894, 2899, 2904, 2909, 2914, 2919, 2924, 2929, 2934, 2939, 2944, 2949, 2954, 2959, 2964, 2969, 2974, 2979, 2984, 2989, 2994, 2999, 3004, 3009, 3014, 3019, 3024, 3029, 3034, 3039, 3044, 3049, 3054, 3059, 3064, 3069, 3074, 3079, 3084, 3089, 3094, 3099, 3104, 3109, 3114, 3119, 3124, 3129, 3134, 3139, 3144, 3149, 3154, 3159, 3164, 3169, 3174, 3179, 3184, 3189, 3194, 3199, 3204, 3209, 3214, 3219, 3224, 3229, 3234, 3239, 3244, 3249, 3254, 3259, 3264, 3269, 3274, 3279, 3284, 3289, 3294, 3299, 3304, 3309, 3314, 3319, 3324, 3329, 3334, 3339, 3344, 3349, 3354, 3359, 3364, 3369, 3374, 3379, 3384, 3389, 3394, 3399, 3404, 3409, 3414, 3419, 3424, 3429, 3434, 3439, 3444, 3449, 3454, 3459, 3464, 3469, 3474, 3479, 3484, 3489, 3494, 3499, 3504, 3509, 3514, 3519, 3524, 3529, 3534, 3539, 3544, 3549, 3554, 3559, 3564, 3569, 3574, 3579, 3584, 3589, 3594, 3599, 3604, 3609, 3614, 3619, 3624, 3629, 3634, 3639, 3644, 3649, 3654, 3659, 3664, 3669, 3674, 3679, 3684, 3689, 3694, 3699, 3704, 3709, 3714, 3719, 3724, 3729, 3734, 3739, 3744, 3749, 3754, 3759, 3764, 3769, 3774, 3779, 3784, 3789, 3794, 3799, 3804, 3809, 3814, 3819, 3824, 3829, 3834, 3839, 3844, 3849, 3854, 3859, 3864, 3869, 3874, 3879, 3884, 3889, 3894, 3899, 3904, 3909, 3914, 3919, 3924, 3929, 3934, 3939, 3944, 3949, 3954, 3959, 3964, 3969, 3974, 3979, 3984, 3988]","2024-04-01","08:36:18","2024-04-01","11:06:27","0"
