edge
-17079940#1
23093001
106674678
23534522#1
62140554#0
-25929229#1
23534522#1
-31133707
-26684891#1
-976689252#0
31626956#0
23184010
23313215#2
23312969#2
639832304
23312959#2
23312960#0
31155466#0
4807770#1
158387861#4
-23999574
316294342#1
-38361904#1
169225672
-4590683#0
-4590683#0
39765465
611784190
1178660194#1
947240461
875800264
-231875722#1
36919852
109592896#1
23999406
-4590683#2
23184024#4
4807837#1
-54883366#4
-4807777
23312969#0
31626956#6
553323250
23184031
15021494#1
-23736862
15021494#7
-37181837#5
31626956#0
31626956#2
-23999280#1
823051188#1
823051188#2
823051188#2
823051188#2
439857024#7
265099556
-23316380#0
-23316380#0
-23316380#0
23316380#0
-984678891#1
-22910605
23176406
4807774#2
23196347
23184031
23184031
23184032
47241806#0
23313212
23313212
4807770#1
23184019#0
242930054
4807773#0
-1030803965#1
-4807752#0
-100763458#1
-22910605
823051188#1
24620747#2
272042576#1
27531049#0
112518515#1
311150182#1
-278026024#0
925072598
-591252083#0
323485009#3
23184031
23551521#3
23184032
149650133#0
4807837#0
-22889927#4
42229185
823051188#2
203414598
686400891#1
31626956#9
823051186#3
288809225#2
288809225#2
288809225#1
1254291648
4807773#1
31626956#4
4811453#3
5047080#2
-23032837#1
-586684993#1
27607675
198137953#0
109592901
32298002#1
-35327641#2
23320661#1
183744964#4
-30615049#1
-150691655#1
881678625#8
159029500#1
158387861#4
158878371#1
159029500#1
272171169
148840366
-29701092#2
-644467861
448018991
-837521439
25213867#0
24957246#8
24957246#8
-148848234
159029500#1
-24764124#1
25812050#1
823051188#2
4807880#0
31626930
366025459#1
22939375#2
290993644
205275339
759106470#1
27607675
-1163119433#0
9054575
699824707#0
244297632
-95158558#1
127613685
341510437#3
23312967#1
-25460405
23534522#1
214352045#1
36989717#1
70237254#2
-25141241#1
85208578#2
88594246
157721473#0
-38151518
925072598
23312966#0
-23312960#0
449555690#5
5047080#0
823051188#1
823051188#1
591252083#0
464511676
-27277726#0
-4811548#1
131194128#2
692560997
-168355066#2
244297632
131194128#3
439857024#7
1026932447#1
24620747#2
23471064#1
98942086#1
-70531940
-548626553#1
387401262#0
4590683#0
4590683#0
1020368373
-95158558#0
5047080#1
288809225#1
23093187#1
23220037#1
4807837#2
4807880#1
31626956#4
-31626930
31626956#9
622835969#2
156260258
-53563623#0
26735073#0
4807773#2
15021494#1
4807773#2
42229185
548505096#1
4811292
-37181837#5
23176406
591252083#0
-586684993#1
629262667#1
31626956#6
-696225646#1
24146206
692560998
54883366#2
439857024#3
31626948
31626942
31626945#0
31626945#0
31626945#0
31626945#0
-281956705#3
-694116159
-23275106
-70237429#0
4590683#2
120137122
449555690#2
558422640#1
4807773#2
965953205#0
464511676
-115626706
449556512#7
125007833#1
